INDEX,RCR,DATE,TIME,VALID,LATITUDE,N/S,LONGITUDE,E/W,HEIGHT(m),SPEED(km/h),NSAT (USED/VIEW),SAT INFO (SID-ELE),
12,B,2016/05/22,20:52:29.000,SPS,36.333511,N,-119.166902,W,76.9,0.188,7(10),#17-68;#28-63;#30-55;#13-50;#19-36;#07-26;#11-23;15-23;01-23;06-01,
13,B,2016/05/22,20:53:34.000,SPS,36.333285,N,-119.167142,W,75.5,0.133,9(10),#17-68;#28-63;#30-54;#13-50;#19-37;#07-26;#11-23;#15-23;#01-23;06-01,
14,B,2016/05/22,20:55:51.000,SPS,36.332885,N,-119.167976,W,83.3,0.791,9(10),#17-70;#28-62;#30-53;#13-50;#19-38;#07-25;#11-22;#15-24;#01-23;06-02,
15,B,2016/05/22,20:56:55.000,SPS,36.332708,N,-119.168494,W,80.1,0.420,9(10),#17-70;#28-62;#30-53;#13-50;#19-38;#07-25;#11-22;#15-24;#01-23;06-02,
16,B,2016/05/22,20:59:40.000,DGPS,36.332047,N,-119.170210,W,79.0,0.434,9(10),#17-72;#28-61;#30-52;#13-49;#19-40;#07-24;#11-21;#15-24;#01-23;06-03,
17,B,2016/05/22,21:00:56.000,DGPS,36.331646,N,-119.170466,W,80.1,0.982,9(10),#17-72;#28-61;#30-51;#13-49;#19-40;#07-23;#11-21;#15-24;#01-23;06-04,
18,B,2016/05/22,21:04:05.000,DGPS,36.330885,N,-119.172076,W,86.4,0.390,9(11),#17-74;#28-61;#30-50;#13-49;#19-42;#07-22;#11-20;#15-25;#01-23;06-04;24-01,
19,B,2016/05/22,21:07:43.000,DGPS,36.330245,N,-119.172763,W,86.8,1.211,9(11),#17-76;#28-60;#30-49;#13-49;#19-44;#07-21;#11-19;#15-25;#01-23;06-06;24-02,
20,B,2016/05/22,21:08:21.000,DGPS,36.329884,N,-119.172937,W,83.3,0.252,9(11),#17-76;#28-60;#30-49;#13-49;#19-44;#07-20;#11-19;#15-25;#01-23;06-06;24-02,
21,B,2016/05/22,21:09:14.000,DGPS,36.329576,N,-119.172776,W,87.5,0.617,9(11),#17-77;#28-59;#30-48;#13-49;#19-44;#07-20;#11-19;#15-26;#01-23;06-06;24-03,
22,B,2016/05/22,21:09:56.000,DGPS,36.329483,N,-119.172643,W,89.2,1.251,9(11),#17-77;#28-59;#30-48;#13-49;#19-45;#07-20;#11-19;#15-26;#01-23;06-06;24-03,
23,B,2016/05/22,21:10:28.000,DGPS,36.329427,N,-119.172439,W,86.3,0.199,9(11),#17-77;#28-59;#30-48;#13-48;#19-45;#07-20;#11-19;#15-26;#01-23;06-07;24-03,
24,B,2016/05/22,21:10:29.000,DGPS,36.329428,N,-119.172438,W,86.2,0.199,9(11),#17-77;#28-59;#30-48;#13-48;#19-45;#07-20;#11-19;#15-26;#01-23;06-07;24-03,
25,B,2016/05/22,21:10:34.000,DGPS,36.329421,N,-119.172431,W,86.2,0.857,9(11),#17-77;#28-59;#30-48;#13-48;#19-45;#07-19;#11-19;#15-26;#01-23;06-07;24-03,
26,B,2016/05/22,21:10:40.000,DGPS,36.329411,N,-119.172437,W,86.2,1.178,8(11),#17-77;#28-59;#30-48;#13-48;#19-45;#07-19;11-18;#15-26;#01-23;06-07;24-03,
27,B,2016/05/22,21:11:01.000,DGPS,36.329431,N,-119.172489,W,85.6,3.982,9(11),#17-77;#28-59;#30-47;#13-48;#19-45;#07-19;#11-18;#15-26;#01-23;06-07;24-03,
28,B,2016/05/22,21:12:03.000,DGPS,36.329557,N,-119.172878,W,83.1,3.459,9(11),#17-78;#28-59;#30-47;#13-48;#19-46;#07-19;#11-18;#15-26;#01-23;06-07;24-04,
